country_name,port_id,port_code,un_locode,display_code,draft_depth,name1,port_authority,owned_by,port_name,state,lat,lon,tonnage_im,tonnage_ex,tonnage,year,teus_im,teus_ex,teus,,
USA,22,,,,0,,,,Fore River  ME,ME,0,0,3346733,23992,3370725,,1,1,1,,
USA,28,,,,0,,,,Piscataqua River  ME and NH,NH,0,0,2153559,33400,2186959,,1,1,1,,
USA,101,,,,0,,,,Eastport Port Authority  ME,ME,0,0,267,216188,216455,,1,1,1,,
USA,110,,,,0,,,,Bucksport Harbor  ME,ME,0,0,91942,0,91942,,1,1,1,,
USA,112,,,,0,,,,Searsport  ME,ME,0,0,1269948,30538,1300486,,1,1,1,,
USA,115,,,,0,,,,Belfast Harbor  ME,ME,0,0,54313,0,54313,,1,1,1,,
USA,128,,,,0,,,,Portland  ME,ME,0,0,232770,1166,233936,,1,1,1,,
USA,149,,,,0,,,,Boston  MA,MA,0,0,9108255,1748617,10856872,,1,1,1,,
USA,187,,,,0,,,,New Bedford Port Authority  MA,MA,0,0,5797,0,5797,,1,1,1,,
USA,189,,,,0,,,,Fall River Port Authority  MA,MA,0,0,55904,0,55904,,1,1,1,,
USA,191,,,,0,,,,Port of Providence  RI,RI,0,0,4168209,594462,4762671,,1,1,1,,
USA,196,,,,0,,,,Narragansett Bay  RI,RI,0,0,540418,9010,549428,,1,1,1,,
USA,297,,,,0,,,,Chester  PA,PA,0,0,1378443,341686,1720129,,1,1,1,,
USA,298,,,,0,,,,Penn Manor  PA,PA,0,0,1865456,363764,2229220,,1,1,1,,
USA,299,,,,0,,,,New Castle  DE,DE,0,0,2626311,173241,2799552,,1,1,1,,
USA,304,,,,0,,,,New London  CT,CT,0,0,330674,0,330674,,1,1,1,,
USA,311,,,,0,,,,Bridgeport  CT,CT,0,0,64540,0,64540,,1,1,1,,
USA,398,4601,,4601,50,Port of New York and New Jersey,,,Port of New York and New Jersey,NJ,40.684,-74.0062,73523481,17727305,91250786,,1,1,1,,
USA,399,,,,0,,,,Northville  Long Island  NY,NY,0,0,1979031,443611,2422642,,1,1,1,,
USA,505,,,,0,,,,Albany Port District  NY,NY,0,0,596442,149254,745696,,1,1,1,,
USA,551,,,,0,,,,Camden-Gloucester  NJ,NJ,0,0,2446644,761904,3208548,,1,1,1,,
USA,552,,,,0,,,,Philadelphia Regional Port  PA,PA,0,0,8360505,887773,9248278,,1,1,1,,
USA,554,,,,0,,,,Wilmington  DE,DE,0,0,4040216,1887832,5928048,,1,1,1,,
USA,700,,,,0,,,,Baltimore  MD,MD,0,0,13628064,24002472,37630536,,1,1,1,,
USA,736,,,,0,,,,Newport News  VA,VA,0,0,362640,16919246,17281886,,1,1,1,,
USA,738,,,,0,,,,Hopewell  VA,VA,0,0,34125,268185,302310,,1,1,1,,
USA,742,,,,0,,,,Elizabeth River (Southern Branch) VA,VA,0,0,1326742,3974384,5301126,,1,1,1,,
USA,743,,,,0,,,,Elizabeth River (Eastern Branch) VA,VA,0,0,12318,86950,99268,,1,1,1,,
USA,744,,,,0,,,,Elizabeth River  VA,VA,0,0,11177978,23310278,34488256,,1,1,1,,
USA,764,,,,0,,,,Morehead City  NC,NC,0,0,1077386,444714,1522100,,1,1,1,,
USA,766,,,,0,,,,Wilmington  NC,NC,0,0,3628898,2238777,5867675,,1,1,1,,
USA,772,,,,0,,,,Port of Georgetown  SC,SC,0,0,0,49,49,,1,1,1,,
USA,773,,,,0,,,,Port of Charleston  SC,SC,0,0,14076087,8526903,22602990,,1,1,1,,
USA,776,,,,0,,,,Port of Savannah  GA,GA,0,0,23441299,17576726,41018025,,1,1,1,,
USA,779,,,,0,,,,East River and Oglethorpe Bay  GA,GA,0,0,290157,806726,1096883,,1,1,1,,
USA,781,,,,0,,,,Turtle River  GA,GA,0,0,884576,258676,1143252,,1,1,1,,
USA,784,,,,0,,,,Ocean Port Authority  FL,FL,0,0,33835,134363,168198,,1,1,1,,
USA,1258,,,,0,,,,Southport  NC,NC,0,0,74769,0,74769,,1,1,1,,
USA,1507,,,,0,,,,New Haven  CT,CT,0,0,3231168,264060,3495228,,1,1,1,,
USA,1827,,,,0,,,,Atlantic Ocean Opposite Indian River Inlet,et,0,0,103953,0,103953,,1,1,1,,
USA,1828,,,,0,,,,Atlantic Ocean Opposite Ocean City Harbor,or,0,0,0,5718,5718,,1,1,1,,
USA,1910,,,,0,,,,Greater Lafourche Port  LA,LA,0,0,18003,49342,67345,,1,1,1,,
USA,1911,,,,0,,,,Port Everglades  FL,FL,0,0,71322,214303,285625,,1,1,1,,
USA,1912,,,,0,,,,Guaynabo  PR,PR,0,0,1613762,56573,1670335,,1,1,1,,
USA,1913,4909,,4909,0,,,,San Juan  PR,PR,18.463134,-66.111774,3634530,213690,3848220,,1,1,1,,
USA,2004,,,,0,,,,Jackson County Port  MS,MS,0,0,8350900,8650137,17001037,,1,1,1,,
USA,2005,,,,0,,,,Mobile Harbor  AL,AL,0,0,20249865,16946472,37196337,,1,1,1,,
USA,2007,1819,,1819,33,,,,Port of Pensacola  FL,FL,30.4059,-87.2106,81065,5455,86520,,1,1,1,,
USA,2016,,,,0,,,,Panama City Port Authority  FL,FL,0,0,575363,1170787,1746150,,1,1,1,,
USA,2017,,,,0,,,,Jacksonville  FL,FL,0,0,8406213,1605290,10011503,,1,1,1,,
USA,2021,,,,0,,,,Tampa Port Authority  FL,FL,27.9504,-82.445,7588514,4317680,11906194,,1,1,1,,
USA,2023,,,,0,,,,Manatee County Port  FL,FL,0,0,3045822,261964,3307786,,1,1,1,,
USA,2031,,,,0,,,,Houston Port Authority  TX,TX,0,0,65561413,144189938,209751351,,1,1,1,,
USA,2083,,,,0,,,,Gulfport  MS,MS,0,0,1403653,540529,1944182,,1,1,1,,
USA,2142,,,,0,,,,Virgin Islands - St. Johns  VI,VI,0,0,2041,0,2041,,1,1,1,,
USA,2143,,,,0,,,,Virgin Islands - St. Thomas  VI,VI,0,0,17955,897,18852,,1,1,1,,
USA,2150,,,,0,,,,Jobos Harbor  PR,PR,0,0,1760889,0,1760889,,1,1,1,,
USA,2151,4908,,4908,0,,,,Ponce Port Authority  PR,PR,18.0111,-66.6141,1084827,117428,1202255,,1,1,1,,
USA,2152,,,,0,,,,Guayanilla Harbor  PR,PR,0,0,2588560,46356,2634916,,1,1,1,,
USA,2154,4907,,4907,0,,,,Mayaguez  PR,PR,18.2185,-67.1597,10173,0,10173,,1,1,1,,
USA,2156,,,,0,,,,Frederiksted St. Croix Island  VI,VI,0,0,0,9,9,,1,1,1,,
USA,2157,,,,0,,,,Virgin Islands - St. Croix  VI,VI,0,0,9816,50140,59956,,1,1,1,,
USA,2160,,,,0,,,,Canaveral Port District  FL,FL,0,0,4229237,30934,4260171,,1,1,1,,
USA,2161,,,,0,,,,Fort Pierce  FL,FL,0,0,343,0,343,,1,1,1,,
USA,2162,,,,0,,,,Port of Palm Beach District  FL,FL,0,0,382593,1180795,1563388,,1,1,1,,
USA,2163,,,,0,,,,Port Everglades Harbor  FL,FL,0,0,7264204,3026152,10290356,,1,1,1,,
USA,2164,5201,,5201,43,Miami Seaport,,,PortMiami  FL,FL,25.7745,-80.1709,5339546,3349040,8688586,,1,1,1,,
USA,2168,,,,0,,,,Guanica  PR,PR,0,0,7977,0,7977,,1,1,1,,
USA,2175,,,,0,,,,Port Harvey St. Croix Island  VI,VI,0,0,17770,39164,56934,,1,1,1,,
USA,2176,,,,0,,,,Port Hess St. Croix Island  VI,VI,0,0,1746586,1937462,3684048,,1,1,1,,
USA,2177,,,,0,,,,Tallaboa Bay  PR,PR,0,0,134838,0,134838,,1,1,1,,
USA,2220,,,,0,,,,Yabucoa  PR,PR,0,0,1954797,380053,2334850,,1,1,1,,
USA,2248,,,,0,,,,Lake Charles Harbor District  LA,LA,0,0,10590481,15670606,26261087,,1,1,1,,
USA,2251,,,,0,,,,New Orleans  LA,LA,0,0,17796360,26205938,44002298,,1,1,1,,
USA,2252,,,,0,,,,Port of Greater Baton Rouge  LA,LA,0,0,6892872,23141352,30034224,,1,1,1,,
USA,2253,,,,0,,,,South Louisiana  LA  Port of,of,0,0,31571671,84048915,115620586,,1,1,1,,
USA,2255,,,,0,,,,Plaquemines Port District  LA,LA,0,0,5581809,18217222,23799031,,1,1,1,,
USA,2394,,,,0,,,,Orange County Port District  TX,TX,0,0,69,0,69,,1,1,1,,
USA,2395,,,,0,,,,Beaumont  TX,TX,0,0,16500297,47676575,64176872,,1,1,1,,
USA,2408,,,,0,,,,Port Freeport  TX,TX,0,0,7090199,18881424,25971623,,1,1,1,,
USA,2414,,,,0,,,,Corpus Christi  TX (Excluding Harbor Island),d),0,0,18563381,66757015,85320396,,1,1,1,,
USA,2416,,,,0,,,,Port Arthur  TX,TX,0,0,6928764,15745387,22674151,,1,1,1,,
USA,2417,,,,0,,,,Galveston  TX,TX,0,0,2347794,3722413,6070207,,1,1,1,,
USA,2418,,,,0,,,,Harbor Island  TX,TX,0,0,118869,0,118869,,1,1,1,,
USA,2420,,,,0,,,,Brownsville  TX,TX,0,0,3268952,671040,3939992,,1,1,1,,
USA,2422,,,,0,,,,Port Isabel-San Benito  TX,TX,0,0,90,0,90,,1,1,1,,
USA,2427,,,,0,,,,Calhoun Port Authority  TX,TX,0,0,484570,1719096,2203666,,1,1,1,,
USA,2428,,,,0,,,,Texas City  TX,TX,0,0,5879588,18757458,24637046,,1,1,1,,
USA,2990,,,,0,,,,LA Offshore Oil Port(Loop) Gulf of Mexico,co,0,0,5040970,4383612,9424582,,1,1,1,,
USA,3008,,,,0,,,,Ogdensburg Port Authority  NY,NY,0,0,52753,0,52753,,1,1,1,,
USA,3106,,,,0,,,,Rochester  NY,NY,0,0,107739,0,107739,,1,1,1,,
USA,3112,,,,0,,,,Oswego  NY,NY,0,0,312944,21162,334106,,1,1,1,,
USA,3202,,,,0,,,,Monroe  MI,MI,0,0,58754,0,58754,,1,1,1,,
USA,3204,,,,0,,,,Toledo-Lucas County Port  OH,OH,0,0,1891279,1826757,3718036,,1,1,1,,
USA,3212,,,,0,,,,Marblehead  OH,OH,0,0,138582,152669,291251,,1,1,1,,
USA,3213,,,,0,,,,Sandusky  OH,OH,0,0,200854,1098370,1299224,,1,1,1,,
USA,3216,,,,0,,,,Lorain Port Authority  OH,OH,0,0,179543,12125,191668,,1,1,1,,
